,Unnamed: 0,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,amount,Month,Time,group
0,3,176560.0,Google Phone,1.0,600.0,2019-04-12 14:38:00,"669 Spruce St, Los Angeles, CA 90001",600.0,4,14,"Google Phone,Wired Headphones"
1,4,176560.0,Wired Headphones,1.0,11.99,2019-04-12 14:38:00,"669 Spruce St, Los Angeles, CA 90001",11.99,4,14,"Google Phone,Wired Headphones"
2,18,176574.0,Google Phone,1.0,600.0,2019-04-03 19:42:00,"20 Hill St, Los Angeles, CA 90001",600.0,4,19,"Google Phone,USB-C Charging Cable"
3,19,176574.0,USB-C Charging Cable,1.0,11.95,2019-04-03 19:42:00,"20 Hill St, Los Angeles, CA 90001",11.95,4,19,"Google Phone,USB-C Charging Cable"
4,30,176585.0,Bose SoundSport Headphones,1.0,99.99,2019-04-07 11:31:00,"823 Highland St, Boston, MA 02215",99.99,4,11,"Bose SoundSport Headphones,Bose SoundSport Headphones"
5,31,176585.0,Bose SoundSport Headphones,1.0,99.99,2019-04-07 11:31:00,"823 Highland St, Boston, MA 02215",99.99,4,11,"Bose SoundSport Headphones,Bose SoundSport Headphones"
6,32,176586.0,AAA Batteries (4-pack),2.0,2.99,2019-04-10 17:00:00,"365 Center St, San Francisco, CA 94016",5.98,4,17,"AAA Batteries (4-pack),Google Phone"
7,33,176586.0,Google Phone,1.0,600.0,2019-04-10 17:00:00,"365 Center St, San Francisco, CA 94016",600.0,4,17,"AAA Batteries (4-pack),Google Phone"
8,119,176672.0,Lightning Charging Cable,1.0,14.95,2019-04-12 11:07:00,"778 Maple St, New York City, NY 10001",14.95,4,11,"Lightning Charging Cable,USB-C Charging Cable"
9,120,176672.0,USB-C Charging Cable,1.0,11.95,2019-04-12 11:07:00,"778 Maple St, New York City, NY 10001",11.95,4,11,"Lightning Charging Cable,USB-C Charging Cable"
10,129,176681.0,Apple Airpods Headphones,1.0,150.0,2019-04-20 10:39:00,"331 Cherry St, Seattle, WA 98101",150.0,4,10,"Apple Airpods Headphones,ThinkPad Laptop"
11,130,176681.0,ThinkPad Laptop,1.0,999.99,2019-04-20 10:39:00,"331 Cherry St, Seattle, WA 98101",999.99,4,10,"Apple Airpods Headphones,ThinkPad Laptop"
12,138,176689.0,Bose SoundSport Headphones,1.0,99.99,2019-04-24 17:15:00,"659 Lincoln St, New York City, NY 10001",99.99,4,17,"Bose SoundSport Headphones,AAA Batteries (4-pack)"
13,139,176689.0,AAA Batteries (4-pack),2.0,2.99,2019-04-24 17:15:00,"659 Lincoln St, New York City, NY 10001",5.98,4,17,"Bose SoundSport Headphones,AAA Batteries (4-pack)"
14,189,176739.0,34in Ultrawide Monitor,1.0,379.99,2019-04-05 17:38:00,"730 6th St, Austin, TX 73301",379.99,4,17,"34in Ultrawide Monitor,Google Phone"
15,190,176739.0,Google Phone,1.0,600.0,2019-04-05 17:38:00,"730 6th St, Austin, TX 73301",600.0,4,17,"34in Ultrawide Monitor,Google Phone"
16,225,176774.0,Lightning Charging Cable,1.0,14.95,2019-04-25 15:06:00,"372 Church St, Los Angeles, CA 90001",14.95,4,15,"Lightning Charging Cable,USB-C Charging Cable"
17,226,176774.0,USB-C Charging Cable,1.0,11.95,2019-04-25 15:06:00,"372 Church St, Los Angeles, CA 90001",11.95,4,15,"Lightning Charging Cable,USB-C Charging Cable"
18,233,176781.0,iPhone,1.0,700.0,2019-04-03 07:37:00,"976 Hickory St, Dallas, TX 75001",700.0,4,7,"iPhone,Lightning Charging Cable"
19,234,176781.0,Lightning Charging Cable,1.0,14.95,2019-04-03 07:37:00,"976 Hickory St, Dallas, TX 75001",14.95,4,7,"iPhone,Lightning Charging Cable"
20,250,176797.0,Google Phone,1.0,600.0,2019-04-21 08:54:00,"923 Elm St, Los Angeles, CA 90001",600.0,4,8,"Google Phone,Bose SoundSport Headphones,Wired Headphones"
21,251,176797.0,Bose SoundSport Headphones,1.0,99.99,2019-04-21 08:54:00,"923 Elm St, Los Angeles, CA 90001",99.99,4,8,"Google Phone,Bose SoundSport Headphones,Wired Headphones"
22,252,176797.0,Wired Headphones,1.0,11.99,2019-04-21 08:54:00,"923 Elm St, Los Angeles, CA 90001",11.99,4,8,"Google Phone,Bose SoundSport Headphones,Wired Headphones"
23,260,176805.0,Google Phone,1.0,600.0,2019-04-01 15:50:00,"91 Lincoln St, Portland, OR 97035",600.0,4,15,"Google Phone,USB-C Charging Cable"
24,261,176805.0,USB-C Charging Cable,1.0,11.95,2019-04-01 15:50:00,"91 Lincoln St, Portland, OR 97035",11.95,4,15,"Google Phone,USB-C Charging Cable"
25,264,176808.0,Google Phone,1.0,600.0,2019-04-28 18:03:00,"933 Meadow St, San Francisco, CA 94016",600.0,4,18,"Google Phone,Wired Headphones"
26,265,176808.0,Wired Headphones,1.0,11.99,2019-04-28 18:03:00,"933 Meadow St, San Francisco, CA 94016",11.99,4,18,"Google Phone,Wired Headphones"
27,270,176813.0,Google Phone,1.0,600.0,2019-04-28 18:01:00,"269 Hill St, Atlanta, GA 30301",600.0,4,18,"Google Phone,Wired Headphones"
28,271,176813.0,Wired Headphones,1.0,11.99,2019-04-28 18:01:00,"269 Hill St, Atlanta, GA 30301",11.99,4,18,"Google Phone,Wired Headphones"
29,394,176935.0,AAA Batteries (4-pack),1.0,2.99,2019-04-03 21:31:00,"315 1st St, Dallas, TX 75001",2.99,4,21,"AAA Batteries (4-pack),27in FHD Monitor"
30,395,176935.0,27in FHD Monitor,1.0,149.99,2019-04-03 21:31:00,"315 1st St, Dallas, TX 75001",149.99,4,21,"AAA Batteries (4-pack),27in FHD Monitor"
31,435,176975.0,USB-C Charging Cable,1.0,11.95,2019-04-23 15:46:00,"28 13th St, San Francisco, CA 94016",11.95,4,15,"USB-C Charging Cable,AAA Batteries (4-pack)"
32,436,176975.0,AAA Batteries (4-pack),1.0,2.99,2019-04-23 15:46:00,"28 13th St, San Francisco, CA 94016",2.99,4,15,"USB-C Charging Cable,AAA Batteries (4-pack)"
33,450,176989.0,Google Phone,1.0,600.0,2019-04-09 13:43:00,"346 9th St, Los Angeles, CA 90001",600.0,4,13,"Google Phone,USB-C Charging Cable"
34,451,176989.0,USB-C Charging Cable,1.0,11.95,2019-04-09 13:43:00,"346 9th St, Los Angeles, CA 90001",11.95,4,13,"Google Phone,USB-C Charging Cable"
35,455,176993.0,iPhone,1.0,700.0,2019-04-07 09:43:00,"28 South St, Los Angeles, CA 90001",700.0,4,9,"iPhone,Wired Headphones"
36,456,176993.0,Wired Headphones,1.0,11.99,2019-04-07 09:43:00,"28 South St, Los Angeles, CA 90001",11.99,4,9,"iPhone,Wired Headphones"
37,485,177022.0,iPhone,1.0,700.0,2019-04-17 18:14:00,"216 Chestnut St, Los Angeles, CA 90001",700.0,4,18,"iPhone,Wired Headphones"
38,486,177022.0,Wired Headphones,1.0,11.99,2019-04-17 18:14:00,"216 Chestnut St, Los Angeles, CA 90001",11.99,4,18,"iPhone,Wired Headphones"
39,566,177102.0,iPhone,1.0,700.0,2019-04-24 05:19:00,"542 Center St, New York City, NY 10001",700.0,4,5,"iPhone,27in 4K Gaming Monitor"
40,567,177102.0,27in 4K Gaming Monitor,1.0,389.99,2019-04-24 05:19:00,"542 Center St, New York City, NY 10001",389.99,4,5,"iPhone,27in 4K Gaming Monitor"
41,580,177115.0,iPhone,1.0,700.0,2019-04-19 19:10:00,"71 6th St, San Francisco, CA 94016",700.0,4,19,"iPhone,Lightning Charging Cable"
42,581,177115.0,Lightning Charging Cable,1.0,14.95,2019-04-19 19:10:00,"71 6th St, San Francisco, CA 94016",14.95,4,19,"iPhone,Lightning Charging Cable"
43,583,177117.0,ThinkPad Laptop,1.0,999.99,2019-04-16 19:34:00,"564 Hill St, San Francisco, CA 94016",999.99,4,19,"ThinkPad Laptop,AAA Batteries (4-pack)"
44,584,177117.0,AAA Batteries (4-pack),1.0,2.99,2019-04-16 19:34:00,"564 Hill St, San Francisco, CA 94016",2.99,4,19,"ThinkPad Laptop,AAA Batteries (4-pack)"
45,634,177167.0,iPhone,1.0,700.0,2019-04-28 16:40:00,"39 Lakeview St, Boston, MA 02215",700.0,4,16,"iPhone,Apple Airpods Headphones,AAA Batteries (4-pack)"
46,635,177167.0,Apple Airpods Headphones,1.0,150.0,2019-04-28 16:40:00,"39 Lakeview St, Boston, MA 02215",150.0,4,16,"iPhone,Apple Airpods Headphones,AAA Batteries (4-pack)"
47,636,177167.0,AAA Batteries (4-pack),3.0,2.99,2019-04-28 16:40:00,"39 Lakeview St, Boston, MA 02215",8.97,4,16,"iPhone,Apple Airpods Headphones,AAA Batteries (4-pack)"
48,647,177178.0,iPhone,1.0,700.0,2019-04-07 00:02:00,"342 Dogwood St, Seattle, WA 98101",700.0,4,0,"iPhone,Lightning Charging Cable"
49,648,177178.0,Lightning Charging Cable,1.0,14.95,2019-04-07 00:02:00,"342 Dogwood St, Seattle, WA 98101",14.95,4,0,"iPhone,Lightning Charging Cable"
50,651,177181.0,Wired Headphones,1.0,11.99,2019-04-09 00:49:00,"309 8th St, Los Angeles, CA 90001",11.99,4,0,"Wired Headphones,Apple Airpods Headphones"
51,652,177181.0,Apple Airpods Headphones,1.0,150.0,2019-04-09 00:49:00,"309 8th St, Los Angeles, CA 90001",150.0,4,0,"Wired Headphones,Apple Airpods Headphones"
52,653,177182.0,Macbook Pro Laptop,1.0,1700.0,2019-04-10 22:00:00,"332 10th St, Los Angeles, CA 90001",1700.0,4,22,"Macbook Pro Laptop,ThinkPad Laptop"
53,654,177182.0,ThinkPad Laptop,1.0,999.99,2019-04-10 22:00:00,"332 10th St, Los Angeles, CA 90001",999.99,4,22,"Macbook Pro Laptop,ThinkPad Laptop"
54,656,177184.0,AA Batteries (4-pack),1.0,3.84,2019-04-01 16:49:00,"289 Hill St, Atlanta, GA 30301",3.84,4,16,"AA Batteries (4-pack),Flatscreen TV"
55,657,177184.0,Flatscreen TV,1.0,300.0,2019-04-01 16:49:00,"289 Hill St, Atlanta, GA 30301",300.0,4,16,"AA Batteries (4-pack),Flatscreen TV"
56,671,177198.0,Vareebadd Phone,1.0,400.0,2019-04-06 16:07:00,"154 6th St, New York City, NY 10001",400.0,4,16,"Vareebadd Phone,USB-C Charging Cable"
57,672,177198.0,USB-C Charging Cable,2.0,11.95,2019-04-06 16:07:00,"154 6th St, New York City, NY 10001",23.9,4,16,"Vareebadd Phone,USB-C Charging Cable"
58,675,177201.0,USB-C Charging Cable,1.0,11.95,2019-04-26 16:13:00,"505 River St, Los Angeles, CA 90001",11.95,4,16,"USB-C Charging Cable,Lightning Charging Cable"
59,676,177201.0,Lightning Charging Cable,1.0,14.95,2019-04-26 16:13:00,"505 River St, Los Angeles, CA 90001",14.95,4,16,"USB-C Charging Cable,Lightning Charging Cable"
60,688,177213.0,iPhone,1.0,700.0,2019-04-25 10:04:00,"756 Lincoln St, Dallas, TX 75001",700.0,4,10,"iPhone,Lightning Charging Cable"
61,689,177213.0,Lightning Charging Cable,1.0,14.95,2019-04-25 10:04:00,"756 Lincoln St, Dallas, TX 75001",14.95,4,10,"iPhone,Lightning Charging Cable"
62,704,177228.0,Google Phone,1.0,600.0,2019-04-17 19:38:00,"233 South St, Dallas, TX 75001",600.0,4,19,"Google Phone,AA Batteries (4-pack)"
